Album,Artist,Release Date,Genres,Score,# of scores,# of reviews
Ants From Up There,"Black Country, New Road",4.01,29k,521,02-04-2022
Hellfire,black midi,3.93,18k,284,07-15-2022
Dragon New Warm Mountain I Believe in You,Big Thief,3.91,14k,166,02-11-2022
Cheat Codes,Danger Mouse & Black Thought,3.93,11k,102,08-12-2022
Aethiopes,billy woods,3.89,10k,90,04-08-2022
De todas las flores,Natalia Lafourcade,3.92,5k,45,10-28-2022
The Forever Story,J.I.D,3.90,10k,93,08-26-2022
Blue Rev,Alvvays,3.78,11k,130,10-07-2022
卵 (Tamago),betcover!!,3.83,1k,7,12-21-2022
Melt My Eyez See Your Future,Denzel Curry,3.76,15k,145,03-25-2022
Once Twice Melody,Beach House,3.77,12k,128,02-18-2022
"And in the Darkness, Hearts Aglow",Weyes Blood,3.78,9k,99,11-18-2022
King's Disease III,Nas,3.79,5k,48,11-11-2022
NO THANK YOU,Little Simz,3.77,6k,61,12-12-2022
Mr. Morale & The Big Steppers,Kendrick Lamar,3.67,25k,319,05-13-2022
Diaspora Problems,Soul Glo,3.71,8k,79,03-25-2022
The Ruby Cord,Richard Dawson,3.74,3k,26,11-18-2022
There Will Be No Super-Slave,Ghais Guevara,3.71,5k,34,07-16-2022
Hostile Architecture,Ashenspire,3.71,4k,43,07-15-2022
"Ice, Death, Planets, Lungs, Mushrooms and Lava",King Gizzard and The Lizard Wizard,3.70,5k,54,10-07-2022
God Don't Make Mistakes,Conway the Machine,3.69,7k,49,02-25-2022
God's Country,Chat Pile,3.67,8k,105,07-29-2022
A Light for Attracting Attention,The Smile,3.66,11k,116,05-13-2022
Church,billy woods x Messiah Musik,3.69,4k,26,09-30-2022
Natural Brown Prom Queen,Sudan Archives,3.68,4k,28,09-09-2022
Ugly Season,Perfume Genius,3.66,6k,70,06-17-2022
Hiss,Wormrot,3.66,5k,48,07-08-2022
Suave pendiente,Niños del Cerro,3.67,3k,32,10-13-2022
Darklife,death's dynamic shroud,3.65,5k,52,09-23-2022
アイランド (Island),"Asunojokei
明日の叙景",3.67,3k,23,07-27-2022
I Love You Jennifer B,Jockstrap,3.64,7k,54,09-09-2022
Gris Klein,Birds in Row,3.66,2k,6,10-14-2022
Moon of Foul Magics,Autonoesis,3.67,944,8,08-25-2022
I Didn't Mean to Haunt You,Quadeca,3.63,5k,103,11-10-2022
Marchita,Silvana Estrada,3.64,5k,41,01-21-2022
You Belong There,Daniel Rossen,3.64,5k,45,04-08-2022
Renaissance,Beyoncé,3.60,8k,102,07-29-2022
Omnium Gatherum,King Gizzard and The Lizard Wizard,3.62,7k,79,04-22-2022
The Loser,Gospel,3.62,5k,31,05-13-2022
Artificial Brain,Artificial Brain,3.63,3k,25,06-03-2022
